row_number,ground_truth_path,prompt,feedback_1,feedback_level_1,feedback_2,feedback_level_2,feedback_3,feedback_level_3,feedback_4,feedback_level_4,feedback_5,feedback_level_5,feedback_6,feedback_level_6,feedback_7,feedback_level_7,feedback_8,feedback_level_8,feedback_9,feedback_level_9,feedback_10,feedback_level_10,feedback_11,feedback_level_11,feedback_12,feedback_level_12,feedback_13,feedback_level_13,feedback_14,feedback_level_14,feedback_15,feedback_level_15,feedback_16,feedback_level_16,feedback_17,feedback_level_17,feedback_18,feedback_level_18
19,Data\groud_truth\template\eventbridge.yaml,"We need a CloudFormation template that creates an Amazon EventBridge configuration to route custom events to an external API endpoint via HTTPS. The template should deploy an EventBridge event bus, an API destination ('https://webhook.site/testtest'), and a connection secured by an API key for authentication. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: ApiKeyConnection
  Error: 'BasicAuthParameters' is a required property
- Resource: ApiKeyConnection
  Error: 'OAuthParameters' is a required property
- Resource: ApiKeyConnection
  Error: 'ApiKeyAuthParameters' is a required property
- Resource: ApiKeyConnection
  Error: {'ApiKey': {'Key': {'Ref': 'ApiKeyName'}, 'Value': {'Ref': 'ApiKeyValue'}}} is not valid under any of the given schemas
- Resource: ApiKeyConnection
  Error: Additional properties are not allowed ('ApiKey' was unexpected)",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: ApiKeyConnection
  Error: 'Resources/ApiKeyConnection/Properties/AuthParameters' has more than 2 properties
- Resource: ApiKeyConnection
  Error: {'ApiKeyAuthParameters': {'Key': {'Ref': 'ApiKeyName'}, 'Value': {'Ref': 'ApiKeyValue'}}, 'BasicAuthParameters': {'Password': '', 'Username': ''}, 'OAuthParameters': {'AuthorizationEndpoint': 'https://example.com/oauth2/authorize', 'ClientId': '', 'ClientSecret': '', 'HttpMethod': 'GET'}} is valid under each of {'required': ['OAuthParameters']}, {'required': ['ApiKeyAuthParameters']}, {'required': ['BasicAuthParameters']}
- Resource: ApiKeyConnection
  Error: 'ApiKeyName' is a required property
- Resource: ApiKeyConnection
  Error: 'ApiKeyValue' is a required property
- Resource: ApiKeyConnection
  Error: Additional properties are not allowed ('Key' was unexpected)
- Resource: ApiKeyConnection
  Error: Additional properties are not allowed ('Value' was unexpected)
- Resource: ApiKeyConnection
  Error: '' does not match '^[ \\t]*[^\\x00-\\x1F\\x7F]+([ \\t]+[^\\x00-\\x1F\\x7F]+)*[ \\t]*$'
- Resource: ApiKeyConnection
  Error: Password shouldn't be hardcoded for Resources/ApiKeyConnection/Properties/AuthParameters/BasicAuthParameters/Password
- Resource: ApiKeyConnection
  Error: '' does not match '^[ \\t]*[^\\x00-\\x1F\\x7F]+([ \\t]+[^\\x00-\\x1F\\x7F]+)*[ \\t]*$'
- Resource: ApiKeyConnection
  Error: 'ClientParameters' is a required property
- Resource: ApiKeyConnection
  Error: Additional properties are not allowed ('ClientId' was unexpected)
- Resource: ApiKeyConnection
  Error: Additional properties are not allowed ('ClientSecret' was unexpected)",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Data\groud_truth\template\CloudWatch_Dashboard_ClientVPN.yaml,"We need a CloudFormation template that creates a CloudWatch Dashboard and a set of CloudWatch Logs Insights queries to monitor and analyze AWS Client VPN usage patterns. The solution should aggregate metrics such as connection durations, data transfer volumes (ingress/egress), and user activity across different authentication methods (AD/SAML, Mutual Auth, and Mixed Auth). The template must organize queries into a logical folder structure and display results in a centralized dashboard with tables showing endpoint-specific usage, distinct user statistics, and authentication-type breakdowns.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: VpnEndpointIds
  Error: Parameter VpnEndpointIds not used.
- Resource: RefreshRate
  Error: Parameter RefreshRate not used.
- Resource: ConnectionMetricsFolder
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'
- Resource: DataTransferMetricsFolder
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'
- Resource: UserActivityMetricsFolder
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'
- Resource: AuthenticationMetricsFolder
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'
- Resource: AverageConnectionDurationQuery
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'
- Resource: ConnectionDurationByEndpointQuery
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'
- Resource: ConnectionDurationDistributionQuery
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'
- Resource: IngressDataVolumeQuery
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'
- Resource: EgressDataVolumeQuery
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'
- Resource: DataTransferByUserQuery
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'
- Resource: ActiveUsersPerDayQuery
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'
- Resource: ConnectionAttemptsQuery
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'
- Resource: AuthenticationTypeBreakdownQuery
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'
- Resource: AuthenticationSuccessRateQuery
  Error: Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1'",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: LogGroupName
  Error: Parameter LogGroupName not used.",detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Data\groud_truth\template\ts_tables.yaml,"We need a CloudFormation template that creates an Amazon Timestream database and tables with configurable retention policies and error handling. The template should define four tables (poc-table-01-batch-write, poc-table-02-older-records-memonly, poc-table-03-older-records-magnetic, poc-table-04-common-attributes).","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Data\groud_truth\template\DynamoDB_Secondary_Indexes.yaml,We need a CloudFormation template that creates a DynamoDB table with local and global secondary indexes.,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Data\groud_truth\template\DynamoDB_Table.yaml,We need a CloudFormation template that creates a DynamoDB table. ,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Data\groud_truth\template\Elasticache-snapshot.yaml,"We need a CloudFormation template of a VPC containing two subnets and an auto scaling group containing instances with Internet access and ElastiCache configured with automated snapshot management and failover capabilities. It must allow optional configuration of snapshot retention policies, with a Lambda function and IAM role to enable/disable snapshotting dynamically. The template should enforce minimal infrastructure costs by defaulting to the `cache.m3.medium` instance type and include regional AZ mappings for subnet placement. ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Data\groud_truth\template\iot_sns_sqs.yaml,"We need a CloudFormation template that creates an IoT data pipeline to route messages from AWS IoT Core to an SQS queue via SNS. The template should deploy an SQS queue to store messages, an SNS topic to act as a pub/sub intermediary, and an IoT Rule to capture messages from the `device/data` MQTT topic. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Data\groud_truth\template\s3_sns.yaml,"We need a CloudFormation template that creates an S3 bucket integrated with Amazon EventBridge and SNS to notify subscribers about object creation events. The template should deploy an S3 bucket configured to send events to EventBridge, an SNS topic for message distribution, and an EventBridge rule that triggers on `Object Created` events from the bucket.","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Data\groud_truth\template\sam_kinesis.yaml,"We need a CloudFormation template that creates a real-time data ingestion and storage pipeline using Amazon Kinesis Data Stream and Kinesis Data Firehose, which delivers the data to an S3 bucket. ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Data\groud_truth\template\sns_for_secret_manager.yaml,"We need a CloudFormation template that creates an automated monitoring and notification system for AWS Secrets Manager secret lifecycle events, which sends alerts via Amazon SNS when secrets are created, updated, or accessed. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: SecretsManagerCreateRuleNoPrefix
  Error: {'Fn::Not': ['HasSecretNamePrefix']} is not of type 'string'
- Resource: SecretsManagerUpdateRuleNoPrefix
  Error: {'Fn::Not': ['HasSecretNamePrefix']} is not of type 'string'
- Resource: SecretsManagerDeleteRuleNoPrefix
  Error: {'Fn::Not': ['HasSecretNamePrefix']} is not of type 'string'
- Resource: SecretsManagerTrailBucket
  Error: Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Data\groud_truth\template\parameter-store-demo.yaml,"We need a CloudFormation template that creates secure parameter storage and retrieval workflows using AWS Systems Manager (SSM) Parameter Store and Secrets Manager which demonstrates centralized configuration management for serverless applications. The solution should define SSM Parameters under a stack-specific namespace to store non-sensitive configuration values (e.g., ""This is A/B""). Generate a Secrets Manager secret with a dynamically created password and predefined username, enforcing security constraints (e.g., excluded characters). Deploy a Lambda function to fetch and decrypt parameters/secrets using Boto3, showcasing path-based SSM parameter retrieval and Secrets Manager secret decryption workflows. Attach IAM roles/policies to grant the Lambda permissions for SSM, Secrets Manager, and CloudWatch logging, ensuring least-privilege access.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: ConfigParameterSecure
  Error: 'SecureString' is not one of ['String', 'StringList']",detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Data\groud_truth\template\efs-provisioned.yaml,"We need a CloudFormation template that creates a EFS file system with cross-AZ EC2 instances and performance monitoring which provides shared storage for applications requiring multi-AZ accessibility. The solution should also launch two EC2 instances in separate AZs with IAM roles granting EFS access and SSM permissions, automating EFS mounting via user data scripts that retry until mount targets are available. Configure CloudWatch alarms to monitor EFS I/O limits and throughput utilization, triggering alerts at 95% I/O limit and 80% throughput thresholds. Note to establish a VPC with public subnets, internet gateway, and network ACLs to support EFS and EC2 connectivity while enforcing security group rules for controlled NFS access. Use cfn-signal and CreationPolicies to ensure instances successfully mount EFS before stack completion, avoiding partial deployments.  ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Data\groud_truth\template\codedeploy.yaml,"We need a CloudFormation template that creates an automated deployment pipeline for the Etherpad application using AWS CodeDeploy. The template should deploy Etherpad on EC2 instances within an Auto Scaling group across two subnets, fronted by an internet-facing Application Load Balancer for traffic distribution. It must provision a MySQL RDS instance for database storage and integrate AWS Systems Manager (SSM) for secure parameter storage. The solution should automate instance provisioning with a launch template that installs dependencies (Node.js, CodeDeploy agent) and signals CloudFormation upon readiness. An S3 bucket stores deployment artifacts, while CodeDeploy resources manage application updates. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: RDSInstance
  Error: '8.0' is not one of ['5.7.44', '5.7.44-rds.20240408', '5.7.44-rds.20240529', '5.7.44-rds.20240808', '8.0.32', '8.0.33', '8.0.34', '8.0.35', '8.0.36', '8.0.37', '8.0.39', '8.0.40', '8.4.3']
- Resource: RDSInstance
  Error: Use dynamic references over parameters for secrets
- Resource: DBCredentialsParameter
  Error: 'SecureString' is not one of ['String', 'StringList']
- Resource: EtherpadConfigParameter
  Error: 'RDSInstance' dependency already enforced by a 'GetAtt' at 'Resources/EtherpadConfigParameter/Properties/Value'
- Resource: CodeDeployDeploymentGroup
  Error: 'AutoScalingGroup' dependency already enforced by a 'Ref' at 'Resources/CodeDeployDeploymentGroup/Properties/AutoScalingGroups/0'",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: RDSInstance
  Error: Use dynamic references over parameters for secrets
- Resource: DBCredentialsParameter
  Error: 'Arn' is not one of ['Id'] in ['us-east-1']",detailed,"Based on the evaluation, the template contains YAML Syntax Errors.",general,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,
32,Data\groud_truth\template\LambdaSample.yaml,We need a CloudFormation template that creates a Lambda sample.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Data\groud_truth\template\lab3.1.4.iamrole.yaml,"We need a CloudFormation template that creates IAM roles for EC2 instances with read-only access to IAM metadata, which allows them to retrieve and list IAM resources. The template should define two roles that trust the EC2 service, attach a managed policy granting permissions for `iam:Get*` and `iam:List*` actions across all IAM resources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Data\groud_truth\template\RDS_PIOPS.yaml,"We need a CloudFormation template that creates a MySQL RDS instance (db.r5.large) with Provisioned IOPS (io1 storage) within a VPC. The solution should deploy the database across two private subnets in different Availability Zones using a DB subnet group, with network isolation via a dedicated VPC and a security group restricting access to port 3306 for internal VPC traffic. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: DBInstance
  Error: Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion
- Resource: DBInstance
  Error: '8.0.28' is not one of ['5.7.44', '5.7.44-rds.20240408', '5.7.44-rds.20240529', '5.7.44-rds.20240808', '8.0.32', '8.0.33', '8.0.34', '8.0.35', '8.0.36', '8.0.37', '8.0.39', '8.0.40', '8.4.3']
- Resource: DBInstance
  Error: Use dynamic references over parameters for secrets",detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Data\groud_truth\template\RDS_Snapshot_On_Delete.yaml,"We need a CloudFormation template that creates MySQL RDS instance (db.t3.micro) with automated snapshots and basic networking infrastructure. The template should deploy the database in a VPC with public subnets across two Availability Zones, using a route table and internet gateway for external connectivity. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: MySQLDBInstance
  Error: Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion
- Resource: MySQLDBInstance
  Error: Use dynamic references over parameters for secrets",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Data\groud_truth\template\RDS_with_DBParameterGroup.yaml,We need a CloudFormation template that creates a MySQL RDS instance (db.t3.micro) with a custom parameter group and secure network isolation. The template should deploy the database in a VPC with two subnets across Availability Zones. It must integrate AWS Secrets Manager to securely generate and manage admin credentials. ,"Based on the evaluation, the template contains YAML Syntax Errors.",general,"Based on the evaluation, the template contains YAML Syntax Errors.",general,"Based on the evaluation, the template failed at the yaml_validation stage. Check below for the error details.
YAML Syntax Error: Line 209: too many spaces inside brackets
Line 210: too many spaces inside brackets",detailed,"Based on the evaluation, the template failed at the yaml_validation stage. Check below for the error details.
YAML Syntax Error: Line 209: too many spaces inside brackets
Line 210: too many spaces inside brackets",detailed,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the yaml_validation stage. Check below for the error details.
YAML Syntax Error: Line 209: too many spaces inside brackets",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: RDSInstance
  Error: Found an embedded parameter ""${AWS::StackName}"" outside of an ""Fn::Sub"" at Resources/RDSInstance/Properties/MasterUserPassword
- Resource: RDSInstance
  Error: 'DBSubnetGroup' dependency already enforced by a 'Ref' at 'Resources/RDSInstance/Properties/DBSubnetGroupName'
- Resource: RDSInstance
  Error: 'RDSSecurityGroup' dependency already enforced by a 'Ref' at 'Resources/RDSInstance/Properties/VPCSecurityGroups/0'
- Resource: RDSInstance
  Error: 'DBParameterGroup' dependency already enforced by a 'Ref' at 'Resources/RDSInstance/Properties/DBParameterGroupName'",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,
